"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","工序相关模块","6","0","","0"
"0","","0","物料相关模块","7","0","","0"
"0","","0","测试登录模块","3","0","","0"
