Serving HTTP on 0.0.0.0 port 8006 (http://0.0.0.0:8006/) ...
192.168.82.201 - - [06/May/2025 15:50:58] "GET /plugin/screen-diff/index.js HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:58] "GET /plugin/packages/index.js HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:58] "GET /widgets/summary.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:59] "GET /widgets/suites.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:59] "GET /widgets/environment.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:59] "GET /widgets/behaviors.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:59] "GET /widgets/history-trend.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:59] "GET /widgets/categories.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:50:59] "GET /widgets/executors.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:51:00] "GET /favicon.ico HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:51:02] "GET /data/timeline.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:51:05] "GET /data/test-cases/2dc2db8a32012d89.json HTTP/1.1" 200 -
192.168.82.201 - - [06/May/2025 15:51:07] "GET /data/categories.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:51:25] "GET /widgets/summary.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:51:25] "GET /widgets/environment.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:51:25] "GET /widgets/suites.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:51:25] "GET /widgets/behaviors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:51:25] "GET /widgets/history-trend.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:51:25] "GET /widgets/categories.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:51:25] "GET /widgets/executors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:52:11] "GET /data/suites.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:52:16] "GET /data/test-cases/2dc2db8a32012d89.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:52:17] "GET /data/test-cases/8be42461a103e2a3.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:52:18] "GET /data/test-cases/505cace22a05b8a.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:54:08] "GET / HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:08] "GET /styles.css HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:08] "GET /app.js HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:09] "GET /widgets/summary.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:09] "GET /widgets/suites.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:09] "GET /widgets/environment.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:09] "GET /widgets/history-trend.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:09] "GET /widgets/behaviors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:09] "GET /widgets/executors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:09] "GET /widgets/categories.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 15:54:16] "GET /widgets/status-chart.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:54:16] "GET /widgets/duration.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:54:16] "GET /widgets/retry-trend.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:54:16] "GET /widgets/severity.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:54:16] "GET /widgets/duration-trend.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 15:54:16] "GET /widgets/categories-trend.json HTTP/1.1" 200 -
192.168.82.204 - - [06/May/2025 17:36:57] "GET / HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:57] "GET /styles.css HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:57] "GET /app.js HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:58] "GET /widgets/behaviors.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:58] "GET /widgets/suites.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:58] "GET /widgets/environment.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:58] "GET /widgets/summary.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:58] "GET /widgets/history-trend.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:58] "GET /widgets/categories.json HTTP/1.1" 304 -
192.168.82.204 - - [06/May/2025 17:36:58] "GET /widgets/executors.json HTTP/1.1" 304 -
192.168.82.135 - - [07/May/2025 13:13:54] code 404, message File not found
192.168.82.135 - - [07/May/2025 13:13:54] "GET /favicon.ico HTTP/1.1" 404 -
192.168.82.135 - - [07/May/2025 13:13:54] code 404, message File not found
192.168.82.135 - - [07/May/2025 13:13:54] "GET / HTTP/1.1" 404 -
192.168.82.135 - - [07/May/2025 13:13:55] code 404, message File not found
192.168.82.135 - - [07/May/2025 13:13:55] "GET /favicon.ico HTTP/1.1" 404 -
192.168.82.135 - - [07/May/2025 13:14:03] code 404, message File not found
192.168.82.135 - - [07/May/2025 13:14:03] "GET /favicon.ico HTTP/1.1" 404 -
192.168.82.204 - - [07/May/2025 13:22:44] code 404, message File not found
192.168.82.204 - - [07/May/2025 13:22:44] "GET / HTTP/1.1" 404 -
