"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","工厂结构管理","5","0","","0"
"0","","3","主流程集成测试","53","0","","0"
"0","","0","工序与工艺路线管理","8","0","","0"
"0","","0","标签管理","2","0","","0"
"0","","0","物料与BOM管理","7","0","","0"
"3","","0","设备台账管理","0","0","","0"
