"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","主流程集成测试","56","0","","0"
"5","","2","工序相关模块","2","0","","0"
"0","","1","设备台账模块","1","1","","0"
"0","","2","车间布局相关模块","3","1","","0"
"0","","0","登录模块","3","0","","0"
"3","","2","物料相关模块","1","1","","0"
